City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
22,Busselton,AU,2022-04-05 00:36:40,-33.65,115.3333,61.12,60,0,9.82
23,Cape Town,ZA,2022-04-05 00:32:23,-33.9258,18.4232,61.88,89,75,11.5
24,Beloha,MG,2022-04-05 00:36:40,-25.1667,45.05,70.54,90,14,5.35
25,Chokurdakh,RU,2022-04-05 00:36:40,70.6333,147.9167,-7.64,94,19,9.24
26,Tilaran,CR,2022-04-05 00:36:41,10.4703,-84.9671,72.32,83,100,6.15
27,Agadir,MA,2022-04-05 00:36:41,30.4202,-9.5982,55.85,68,2,10.85
28,Staryy Nadym,RU,2022-04-05 00:36:42,65.6118,72.6842,33.21,99,100,9.48
29,Chuy,UY,2022-04-05 00:36:42,-33.6971,-53.4616,55.8,62,0,5.82
30,Coquimbo,CL,2022-04-05 00:32:51,-29.9533,-71.3436,61.36,76,0,3.69
31,Tuktoyaktuk,CA,2022-04-05 00:36:42,69.4541,-133.0374,-14.8,70,75,8.05
32,Tasiilaq,GL,2022-04-05 00:36:43,65.6145,-37.6368,15.96,90,93,8.77
33,Vaini,TO,2022-04-05 00:36:43,-21.2,-175.2,80.76,78,75,10.36
34,Kokopo,PG,2022-04-05 00:36:43,-4.352,152.2633,85.8,64,66,9.75
35,Glens Falls,US,2022-04-05 00:33:00,43.3095,-73.644,46.85,50,75,5.75
36,Talnakh,RU,2022-04-05 00:36:44,69.4865,88.3972,-0.09,84,34,9.13
37,Port Lincoln,AU,2022-04-05 00:36:44,-34.7333,135.8667,62.6,79,100,15.59
38,Nenjiang,CN,2022-04-05 00:36:44,49.1833,125.2167,27.59,88,100,18.61
39,Coruripe,BR,2022-04-05 00:36:45,-10.1256,-36.1756,76.6,80,23,3.44
40,Puerto Ayora,EC,2022-04-05 00:36:45,-0.7393,-90.3518,76.55,95,33,6.91
41,Chicama,PE,2022-04-05 00:36:45,-7.8447,-79.1469,63.14,78,65,5.93
42,Guilin,CN,2022-04-05 00:36:46,25.2819,110.2864,57.31,62,84,4.34
43,Avarua,CK,2022-04-05 00:36:46,-21.2078,-159.775,82.45,78,20,3.44
44,Bethel,US,2022-04-05 00:36:46,41.3712,-73.414,49.91,70,100,4.43
45,Durazno,UY,2022-04-05 00:32:05,-33.4131,-56.5006,52.27,36,0,7.29
46,Guerrero Negro,MX,2022-04-05 00:37:47,27.9769,-114.0611,62.37,72,0,19.75
47,High Level,CA,2022-04-05 00:37:47,58.5169,-117.136,44.71,49,75,6.91
48,Mahebourg,MU,2022-04-05 00:37:48,-20.4081,57.7,77.29,94,75,6.91
49,Kharp,RU,2022-04-05 00:37:48,66.8014,65.8081,11.93,90,21,8.77
50,Atar,MR,2022-04-05 00:37:48,20.5169,-13.0499,70.68,47,0,2.39
51,Khatanga,RU,2022-04-05 00:37:49,71.9667,102.5,-13.61,92,50,4.74
52,Yaan,NG,2022-04-05 00:37:49,7.3833,8.5667,80.13,70,99,8.93
53,Hithadhoo,MV,2022-04-05 00:37:49,-0.6,73.0833,82.67,67,7,2.37
54,Bambous Virieux,MU,2022-04-05 00:37:50,-20.3428,57.7575,77.25,94,75,6.91
55,Djambala,CG,2022-04-05 00:37:50,-2.5447,14.7533,68.07,93,100,3.69
56,Fort Nelson,CA,2022-04-05 00:37:50,58.8053,-122.7002,40.59,48,40,10.36
57,Srednekolymsk,RU,2022-04-05 00:37:50,67.45,153.6833,-3.8,86,100,2.15
58,Lata,PT,2022-04-05 00:37:51,40.1629,-8.3327,43.59,52,100,4.79
