City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ndele,CF,81.55,overcast clouds,8.4109,20.6473,
10,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
17,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
25,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
31,Areia Branca,BR,81.03,broken clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
32,Cabo San Lucas,MX,86.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
42,Sarangani,PH,82.11,light rain,5.4033,125.4636,Ballistic Islet
52,Georgetown,MY,80.53,thunderstorm,5.4112,100.3354,Cititel Penang
54,Roebourne,AU,82.65,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
55,Touros,BR,81.05,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
56,Butaritari,KI,80.56,light rain,3.0707,172.7902,Isles Sunset Lodge
71,San Patricio,US,84.16,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
72,Goure,NE,86.41,clear sky,13.9835,10.2704,
74,Boa Vista,BR,91.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
87,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
92,Trinidad,BO,85.12,overcast clouds,-14.8333,-64.9,Hotel Piesta
93,Sassandra,CI,81.34,overcast clouds,4.95,-6.0833,la terrasse
111,Araouane,ML,88.38,broken clouds,18.9048,-3.5265,
117,Topolobampo,MX,82.31,scattered clouds,25.6,-109.05,Hotel Marina Topolobampo
123,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
150,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
151,Lompoc,US,98.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
166,Mansa,IN,81.63,clear sky,29.9833,75.3833,STARiHOTEL Mansa
168,Faanui,PF,82.69,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
172,Los Algarrobos,PA,85.51,overcast clouds,8.5,-82.4333,Waterfall Hostel
174,Porto Murtinho,BR,82.96,overcast clouds,-21.6989,-57.8825,Hotel Pantanal
175,Sur,OM,86.92,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
179,Mocorito,MX,84.2,scattered clouds,25.4833,-107.9167,Casa de Don Eustaquio
181,Hithadhoo,MV,82.87,broken clouds,-0.6,73.0833,Scoop Guest House
