City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Saint-Pierre,RE,-21.3393,55.4781,74.91,83,75,20.71,broken clouds
161,Marienburg,PL,54.0359,19.0266,41.11,73,92,8.57,overcast clouds
162,Hobbs,US,32.7026,-103.136,69.06,9,0,9.22,clear sky
163,Yellowknife,CA,62.456,-114.3525,37.42,97,100,10.0,overcast clouds
164,Rocha,UY,-34.4833,-54.3333,69.12,70,0,10.45,clear sky
165,Turukhansk,RU,65.8167,87.9833,7.27,97,91,2.64,overcast clouds
166,Mansa,IN,29.9833,75.3833,81.63,9,0,6.11,clear sky
167,Vardo,NO,70.3705,31.1107,33.78,80,75,28.77,broken clouds
168,Faanui,PF,-16.4833,-151.75,82.69,73,100,18.97,overcast clouds
169,Zvishavane,ZW,-20.3267,30.0665,64.74,81,99,11.3,overcast clouds
170,Las Cruces,US,32.3123,-106.7783,77.11,7,0,4.61,clear sky
171,Shubarshi,KZ,48.5872,57.1869,49.55,68,100,17.09,overcast clouds
172,Los Algarrobos,PA,8.5,-82.4333,85.51,59,91,4.68,overcast clouds
173,Maragogi,BR,-9.0122,-35.2225,78.69,83,30,6.31,scattered clouds
174,Porto Murtinho,BR,-21.6989,-57.8825,82.96,68,100,10.18,overcast clouds
175,Sur,OM,22.5667,59.5289,86.92,42,89,8.95,overcast clouds
176,Lavrentiya,RU,65.5833,-171.0,-6.43,87,75,2.37,broken clouds
177,Kastornoye,RU,51.8334,38.1302,49.6,91,100,11.52,overcast clouds
178,Upernavik,GL,72.7868,-56.1549,10.56,92,100,4.41,overcast clouds
179,Mocorito,MX,25.4833,-107.9167,84.2,26,50,12.88,scattered clouds
180,Sinnamary,GF,5.3833,-52.95,76.5,91,100,9.57,overcast clouds
181,Hithadhoo,MV,-0.6,73.0833,82.87,70,61,7.02,broken clouds
182,Stornoway,GB,58.2093,-6.3865,37.04,79,20,6.91,few clouds
183,Waikuku,NZ,-43.3,172.6833,58.41,82,86,2.89,overcast clouds
184,Russell,US,32.3502,-85.1999,65.12,35,20,19.57,few clouds
185,Murray,US,40.6669,-111.888,74.37,18,0,8.05,clear sky
186,Saint-Philippe,RE,-21.3585,55.7679,74.79,86,70,11.16,light rain
187,Sitka,US,57.0531,-135.33,39.09,81,100,0.0,moderate rain
188,Ipubi,BR,-7.6519,-40.1489,77.04,63,61,2.24,broken clouds
189,Pio Xii,BR,-3.8325,-45.1525,77.2,94,87,2.75,overcast clouds
190,Provideniya,RU,64.3833,-173.3,1.83,88,28,7.0,scattered clouds
191,Port Pirie,AU,-33.1833,138.0167,53.69,67,0,4.12,clear sky
192,Chuy,UY,-33.6971,-53.4616,69.1,76,9,8.1,clear sky
193,Chara,RU,56.9064,118.2631,14.76,74,100,3.18,overcast clouds
194,San Nicolas,PH,18.1725,120.5953,77.43,83,99,6.15,overcast clouds
195,Dandong,CN,40.1292,124.3947,46.38,75,44,7.11,scattered clouds
196,Lata,PT,40.1629,-8.3327,56.8,99,100,5.44,overcast clouds
197,Cidreira,BR,-30.1811,-50.2056,69.03,80,97,11.52,overcast clouds
198,Tahe,CN,52.3333,124.7333,21.7,98,87,3.8,overcast clouds
199,San Francisco,US,37.7749,-122.4194,90.75,57,75,21.85,broken clouds
200,Makakilo City,US,21.3469,-158.0858,79.12,59,20,14.97,few clouds
201,Saint-Ambroise,CA,48.5501,-71.3324,37.58,93,100,11.63,moderate rain
202,Corinto,GR,37.9407,22.9573,61.9,69,0,5.03,clear sky
203,Laguna,US,38.421,-121.4238,90.97,27,0,5.75,clear sky
204,Jamestown,US,42.097,-79.2353,40.95,73,100,10.36,overcast clouds
205,Buchanan,LR,5.8808,-10.0467,80.98,87,95,9.4,overcast clouds
206,Dingle,PH,10.9995,122.6711,74.34,92,99,4.94,overcast clouds
207,Chicama,PE,-7.8447,-79.1469,66.74,65,77,9.55,broken clouds
208,Zhaoqing,CN,23.0512,112.4597,66.43,76,0,2.08,clear sky
209,Mirante Do Paranapanema,BR,-22.2919,-51.9064,72.72,93,100,9.48,heavy intensity rain
210,Saint Anthony,US,45.0205,-93.218,47.98,37,0,19.57,clear sky
211,Cayenne,GF,4.9333,-52.3333,82.09,1,75,8.05,broken clouds
212,Lixourion,GR,38.2019,20.4314,57.29,81,0,4.5,clear sky
213,Olafsvik,IS,64.8945,-23.7142,34.09,59,100,9.73,overcast clouds
214,Pemba,MZ,-12.974,40.5178,79.5,89,75,4.61,thunderstorm
215,Souillac,MU,-20.5167,57.5167,77.05,84,70,13.31,light rain
216,Pine Bluff,US,34.2284,-92.0032,55.33,40,100,16.11,overcast clouds
217,Daru,PG,-9.0763,143.2092,79.18,85,63,9.22,broken clouds
218,Rawlins,US,41.7911,-107.2387,62.49,16,0,11.5,clear sky
219,Kibre Mengist,ET,5.8833,38.9833,62.71,64,100,0.6,overcast clouds
220,Ulaanbaatar,MN,47.9077,106.8832,50.13,23,75,17.9,broken clouds
221,Krasnoarmeysk,RU,51.0239,45.6969,49.03,76,100,8.41,overcast clouds
222,Ihosy,MG,-22.4,46.1167,66.9,96,69,8.14,broken clouds
223,Shimoda,JP,34.6667,138.95,56.1,81,0,7.18,clear sky
224,Lima,PE,-12.0432,-77.0282,70.05,50,40,10.36,scattered clouds
225,Praia,CV,14.9215,-23.5087,73.94,68,0,18.41,clear sky
226,Ozernovskiy,RU,51.5,156.5167,30.63,82,100,16.08,light snow
227,Yaan,NG,7.3833,8.5667,86.25,56,100,9.35,light rain
228,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,80.96,92,94,2.46,overcast clouds
229,Nizhniy Bestyakh,RU,61.9594,129.9086,4.48,78,0,4.47,clear sky
230,Victor Harbor,AU,-35.5667,138.6167,55.0,94,0,8.81,clear sky
231,Fukue,JP,32.6881,128.8419,60.89,63,0,6.87,clear sky
232,Abnub,EG,27.2696,31.1511,75.63,23,0,16.28,clear sky
233,Marawi,PH,7.9986,124.2928,68.81,98,100,2.68,overcast clouds
234,Bulungu,CD,-4.55,18.6,75.09,83,64,2.17,light rain
235,Praya,CV,14.9215,-23.5087,73.94,68,0,18.41,clear sky
236,Ereymentau,KZ,51.6199,73.1033,32.85,91,12,2.86,few clouds
237,Cairns,AU,-16.9167,145.7667,78.75,87,40,4.61,scattered clouds
238,Juneau,US,58.3019,-134.4197,44.6,68,100,8.05,overcast clouds
239,Goryachegorsk,RU,55.4053,88.9154,31.77,89,97,17.09,light snow
240,Mayo,US,38.8876,-76.5119,65.35,52,75,14.97,broken clouds
241,Issia,CI,6.4922,-6.5856,79.16,77,100,6.78,overcast clouds
242,Sorland,NO,67.667,12.6934,36.97,60,100,25.21,overcast clouds
243,Anadyr,RU,64.75,177.4833,0.48,70,89,2.46,overcast clouds
244,Nikolskoye,RU,59.7035,30.7861,39.78,87,100,6.31,overcast clouds
245,Ekibastuz,KZ,51.6667,75.3667,36.99,69,10,8.1,clear sky
246,Fortuna,US,40.5982,-124.1573,57.92,69,40,21.85,scattered clouds
247,Belmonte,BR,-15.8631,-38.8828,78.73,76,0,5.99,clear sky
248,Khandyga,RU,62.6667,135.6,-3.33,100,92,1.97,overcast clouds
249,Bedele,ET,8.456,36.353,62.69,58,100,3.47,overcast clouds
250,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,89,89,39.86,overcast clouds
251,Geraldton,AU,-28.7667,114.6,68.41,73,100,10.36,overcast clouds
252,Iberia,US,29.9502,-91.7507,71.96,21,0,19.57,clear sky
253,Asfi,MA,32.2994,-9.2372,59.74,82,25,18.1,scattered clouds
254,Pangnirtung,CA,66.1451,-65.7125,14.31,98,100,3.0,overcast clouds
255,Shellbrook,CA,53.2168,-106.4011,48.43,58,35,17.25,scattered clouds
256,Tiksi,RU,71.6872,128.8694,-10.66,100,100,4.12,overcast clouds
257,Bathsheba,BB,13.2167,-59.5167,83.01,61,20,17.27,few clouds
258,Kennewick,US,46.2113,-119.1372,68.02,25,0,19.57,clear sky
259,Xiongzhou,CN,25.1167,114.3,63.1,58,0,0.72,clear sky
260,Torbay,CA,47.6666,-52.7314,35.76,88,87,4.0,overcast clouds
